"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.60055096418733","-4.62772050400916","-7.4250936329588","-6.714859437751","-20.6793279766253","-24.0230621396541","4.56876456876457","3.85250128932439","6.5067264573991","-0.0211505922165815","-5.00809716599191","-12.782640408461","-1.12713854411271","-25.2778858625162","11.0568722640362","16.2808742441801","-17.3434518893983","-8.09902267310928","12.0136853291023","4.44757292760029","12.5742113280132","9.64536035842434","0.00393003438387262","6.72239127248544","-18.7525373189382","-9.8776559966521","3.47345127544661","-11.8132064186599","-4.65857687581846","3.99414168614573","4.73177774121448","1.11979544978693","-0.591367072740339","2.49710965476204","-12.7507541445433","2.70553036523941","7.03054716243499","5.33080727344514","",
"Africa Eastern and Southern","AFE","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.35799044700136","2.23601941932175","-3.64331388234628","-12.6195382087159","-25.8706814974751","-25.290058564309","-15.7724198274304","-21.9126573355151","-14.9501951919169","-18.9559612272258","-21.5852741164653","-20.1704643881064","-15.7183027911684","","","","",
"Africa Western and Central","AFW","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","2.58139146821177","-4.2841774908353","5.52915879466056","-5.34787604789493","-1.29389172637474","-2.09715190221188","-5.465973","-8.84439959377916","-11.5883584424603","-7.65604828196431","-5.32696076591876","43.3986736530575","-11.5519926947846","-28.6975731367781","-27.7983311948052","8.71506351159262","-16.0129513307541","-0.981927174447658","-4.0395824059631","2.8924761959248","13.8970988768413","20.4078078020579","16.2123974861326","8.12554260460487","-10.7693837286968","8.95704217526965","11.7046835510956","10.80895743621","6.15469619733807","-2.75620042901358","-11.351655507595","-5.84742399005694","-0.858821843953161","9.31723397425301","7.24618124732477","1.797710856441","12.6297800641592","11.2671532788355","4.93369978468039","",
"Albania","ALB","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","1.01387609500286","2.48869419936368","-3.58915333544579","-2.03570446250028","-1.51291795411133","-1.91876849654322","-0.1525752133222","0.249904333497333","-1.3211544989028","-1.74427120088412","-5.83174096323551","-15.2788523176905","-7.77398715257512","1.25704931694863","-8.36279155272246","-0.480615551651797","-3.35350141437796","-12.0536114950924","-2.55580935849998","-4.83792386732012","-4.49092085179739","-5.542947808941","-9.37243799545941","-7.24966532306394","-4.98178261667359","-7.09724132095197","-7.5415759688391","-10.7781023817953","-15.6285296892255","-15.3804877728582","-11.3658658518304","-12.9331014515688","-10.2001762330966","-9.27418778932724","-10.7753990397848","-8.60488046763521","-7.59082599857198","-7.54422875202925","-6.60766413996776","-7.82064680790707","-8.62504716701021","-7.59590759205624","-5.87243640069213","-1.19632174783293","",
"Andorra","AND","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0104704758856","15.5264308539605","15.0218009387808","11.643445126406","14.2213228058781","",
"Arab World","ARB","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","1.27224225636723","1.98305770943701","2.08423514758595","-0.740769310961666","-6.20306739740758","-5.98905581142535","-2.7909739553226","-2.3427783479647","-2.13402804432395","-1.0799663864279","-2.7004212047155","-3.89207383826997","-1.2388660162792","-1.70299441367605","3.2203150343045","-0.341028912950146","-2.42494134682425","-3.46617829462144","-4.26485898465452","-1.98346027350929","-2.4875930110115","-4.14468006629108","-4.8443160454196","-4.21229506178187","-3.15992237703676","-1.40694788500181","8.97078467784247","6.37990680177011","1.95058324319273","2.65363142179073","2.79449564264943","2.1036160391819","1.49940141614234","2.1785669619099","-0.383118699737132","-1.00728084144866","-0.39159512386959","-2.37749566620574","-1.74400211981355","-2.96292666513535","-2.70922168361454","-4.83995921807391","-5.16055257152294","-0.779998447561849","0.696935361136032","1.36154422203441","-0.640820188045601","-3.24351254822955","",
